hierarchy,store_id,year,week_num,proj_revenue,proj_units
Ex Department 1,5,2019,48,0.0,0.0
Ex Department 1,5,2019,49,0.0,0.0
Ex Department 1,5,2019,50,0.0,0.0
Ex Department 1,5,2019,51,0.0,0.0
Ex Department 1,5,2019,52,0.0,0.0
Ex Department 1,6,2019,1,0.0,0.0
Ex Department 1,6,2019,2,0.0,0.0
Ex Department 1,6,2019,3,0.0,0.0
Ex Department 1,6,2019,4,0.0,0.0
Ex Department 1,6,2019,5,0.0,0.0
Ex Department 1,6,2019,6,0.0,0.0
Ex Department 1,6,2019,7,0.0,0.0
Ex Department 1,6,2019,8,0.0,0.0
Ex Department 1,6,2019,9,0.0,0.0
Ex Department 1,6,2019,10,4385.241999999998,2173.7000000000007
Ex Department 1,6,2019,11,-66.48490000001038,140.03499999999985
Ex Department 1,6,2019,12,3071.409854999991,1417.936749999999
Ex Department 1,6,2019,13,1265.1808477499944,634.8335874999993
Ex Department 1,6,2019,14,4081.340890137486,1102.8752668749985
Ex Department 1,6,2019,15,6297.61293464437,2133.169030218749
Ex Department 1,6,2019,16,8653.085581376596,2764.3774817296853
Ex Department 1,6,2019,17,13918.058360445422,4208.096355816169
Ex Department 1,6,2019,18,12248.488278467688,3454.0511736069802
Ex Department 1,6,2019,19,9305.368192391077,2025.6037322873271
Ex Department 1,6,2019,20,13692.361102010647,3865.9339189016955
Ex Department 1,6,2019,21,12412.027657111168,2965.330614846782
Ex Department 1,6,2019,22,15505.528039966732,4229.397145589121
Ex Department 1,6,2019,23,14863.523441965059,3968.1170028685774
Ex Department 1,6,2019,24,15975.581114063309,3929.4228530120054
Ex Department 1,6,2019,25,14492.890169766484,3420.7939956626014
Ex Department 1,6,2019,26,17134.589678254793,4819.33369544573
Ex Department 1,6,2019,27,19610.055162167548,5234.65038021802
Ex Department 1,6,2019,28,23789.458920275916,6578.28289922892
Ex Department 1,6,2019,29,17525.617866289707,4553.047044190365
Ex Department 1,6,2019,30,17541.185259604194,4744.199396399883
